Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
868.6110000000001,,,0.0,0.0,0.0
1068.555,,,0.0,0.0,0.0
1335.0729999999999,,,0.0,0.0,0.0
1468.885,,,,,
1535.356,,,,,
1536.236,,,0.0,0.0,0.0
1734.9879999999998,,,0.0,3.0,1.5
1757.092,1438236.0,4606196.0,,,
1934.8410000000001,,,12.0,7.0,9.5
2134.797,,,23.0,18.0,20.5
2334.8,,,33.0,30.0,31.5
2468.669,,,,,
2535.139,,,,,
2536.112,,,41.0,41.0,41.0
2868.265,,,58.0,63.0,60.5
3068.211,,,67.0,74.0,70.5
3268.173,,,82.0,88.0,85.0
3468.401,,,,,
3534.915,,,,,
3535.825,,,100.0,97.0,98.5
3605.6890000000003,1433779.0,13355440.0,,,
3734.513,,,116.0,109.0,112.5
3934.478,,,130.0,122.0,126.0
4134.359,,,142.0,135.0,138.5
4334.315,,,156.0,146.0,151.0
4468.194,,,,,
4534.707,,,,,
4536.045,,,156.0,154.0,155.0
4734.223,,,165.0,163.0,164.0
5067.686,,,181.0,176.0,178.5
5267.581999999999,,,183.0,178.0,180.5
5452.659000000001,1436653.0,7783013.0,,,
5467.969,,,,,
5468.931,,,182.0,188.0,185.0
5534.482,,,,,
5667.644,,,199.0,195.0,197.0
5934.029,,,212.0,204.0,208.0
6134.044,,,211.0,214.0,212.5
6334.004,,,228.0,220.0,224.0
6467.715,,,,,
6534.258000000001,,,,,
6535.304,,,233.0,226.0,229.5
6733.941,,,236.0,237.0,236.5
6933.905,,,251.0,246.0,248.5
7133.906999999999,,,259.0,250.0,254.5
7300.606,1434193.0,11787195.0,,,
7467.49,,,,,
7468.66,,,269.0,265.0,267.0
7533.960999999999,,,,,
7667.3769999999995,,,278.0,273.0,275.5
7867.269,,,280.0,280.0,280.0
8133.768,,,293.0,286.0,289.5
8333.729,,,295.0,291.0,293.0
8467.308,,,,,
8533.779,,,,,
8534.846,,,300.0,301.0,300.5
8733.476,,,301.0,309.0,305.0
8933.485,,,318.0,313.0,315.5
9133.439,,,321.0,318.0,319.5
9151.497,1434380.0,11933215.0,,,
9333.396999999999,,,322.0,331.0,326.5
9467.34,,,,,
9533.853000000001,,,,,
9666.899,,,345.0,348.0,346.5
9866.858,,,343.0,356.0,349.5
10066.815999999999,,,369.0,371.0,370.0
10266.756,,,371.0,385.0,378.0
10466.859,,,,,
10533.33,,,,,
10534.559,,,399.0,408.0,403.5
10733.19,,,406.0,502.0,454.0
10933.198,,,417.0,467.0,442.0
10996.417,1426851.0,28033733.0,,,
11133.157,,,427.0,483.0,455.0
11333.053999999998,,,448.0,476.0,462.0
11466.63,,,,,
11533.143,,,,,
11534.419,,,439.0,460.0,449.5
11733.058,,,470.0,435.0,452.5
12066.524,,,468.0,580.0,524.0
12266.483,,,465.0,451.0,458.0
12466.448,,,,,
12467.796,,,492.0,474.0,483.0
12532.919,,,,,
12732.983999999999,,,512.0,601.0,556.5
12844.378,1425780.0,32652522.0,,,
12932.964,,,526.0,567.0,546.5
13132.903999999999,,,550.0,544.0,547.0
13332.844,,,544.0,539.0,541.5
13466.094,,,,,
13532.607,,,,,
13534.148000000001,,,594.0,563.0,578.5
13732.79,,,588.0,637.0,612.5
13932.813,,,599.0,577.0,588.0
14266.219,,,598.0,639.0,618.5
14466.125,,,,,
14467.966999999999,,,681.0,661.0,671.0
14532.638,,,,,
14666.221000000001,,,574.0,658.0,616.0
14692.258999999998,1420565.0,35750106.0,,,
14866.181,,,622.0,637.0,629.5
15132.633999999998,,,598.0,634.0,616.0
15332.573999999999,,,697.0,701.0,699.0
15465.669,,,,,
15532.14,,,,,
15533.888,,,695.0,733.0,714.0
15732.594,,,656.0,683.0,669.5
15932.468,,,581.0,706.0,643.5
16132.489,,,616.0,703.0,659.5
16332.447,,,616.0,724.0,670.0
16465.443,,,,,
16531.956000000002,,,,,
16540.163,1417097.0,44085006.0,,,
16665.915,,,693.0,713.0,703.0
16865.881999999998,,,607.0,759.0,683.0
17065.827,,,713.0,716.0,714.5
17332.272,,,692.0,755.0,723.5
17465.208,,,,,
17531.721,,,,,
17533.506,,,739.0,757.0,748.0
17732.212,,,789.0,793.0,791.0
17932.16,,,785.0,805.0,795.0
18132.043,,,806.0,808.0,807.0
18332.076,,,809.0,855.0,832.0
18389.753,1413567.0,49906500.0,,,
18464.995,,,,,
18531.466,,,,,
18533.215,,,745.0,855.0,800.0
18865.372,,,835.0,851.0,843.0
19065.328,,,896.0,856.0,876.0
19265.287,,,771.0,864.0,817.5
19464.98,,,,,
19466.995,,,762.0,894.0,828.0
19531.494,,,,,
19731.721999999998,,,844.0,878.0,861.0
19931.665,,,818.0,908.0,863.0
20131.63,,,867.0,941.0,904.0
20236.558999999997,1403902.0,60845309.0,,,
20331.582,,,946.0,928.0,937.0
20464.465,,,,,
20530.935,,,,,
20532.835,,,958.0,955.0,956.5
20558.838,,,,,
20658.87,,,,,
20731.533,,,944.0,930.0,937.0
20758.921000000002,,,,,
20859.223,,,,,
20931.502,,,943.0,939.0,941.0
20959.436,,,,,
21059.707000000002,,,,,
21159.494,,,,,
21259.525,,,,,
21264.888,,,951.0,930.0,940.5
21359.557,,,,,
21459.61,,,,,
21464.283,,,,,
21466.147999999997,,,927.0,928.0,927.5
21530.752999999997,,,,,
21559.876,,,,,
21660.186,,,,,
21664.827999999998,,,927.0,922.0,924.5
21760.416,,,,,
21860.205,,,,,
21960.235,,,,,
22060.263,,,,,
22083.645,1435556.0,474173.0,,,
22131.23,,,905.0,913.0,909.0
22160.311,,,,,
22260.569,,,,,
22331.116,,,894.0,902.0,898.0
22360.354,,,,,
22460.345,,,,,
22464.057999999997,,,,,
22530.529,,,,,
22532.372000000003,,,888.0,903.0,895.5
22560.377,,,,,
22660.551,,,,,
22731.052000000003,,,891.0,881.0,886.0
22760.783,,,,,
22860.57,,,,,
22931.011000000002,,,880.0,883.0,881.5
22960.6,,,,,
23060.63,,,,,
23130.891,,,871.0,875.0,873.0
23160.662,,,,,
23260.863999999998,,,,,
23330.897,,,870.0,870.0,870.0
23361.138,,,,,
23460.94,,,,,
23463.812,,,,,
23530.282000000003,,,,,
23561.023999999998,,,,,
23661.02,,,,,
23664.334,,,860.0,872.0,866.0
23761.052000000003,,,,,
23861.248,,,,,
23864.302000000003,,,863.0,859.0,861.0
23931.53,1436491.0,469567.0,,,
23961.576,,,,,
24061.805,,,,,
24064.261000000002,,,858.0,839.0,848.5
24161.592999999997,,,,,
24261.622000000003,,,,,
24330.691000000003,,,843.0,846.0,844.5
24361.655,,,,,
24461.71,,,,,
24463.842999999997,,,,,
24530.314,,,,,
24532.327999999998,,,832.0,841.0,836.5
24561.944,,,,,
24661.731,,,,,
24730.491,,,831.0,823.0,827.0
24761.757999999998,,,,,
24861.787999999997,,,,,
24930.45,,,812.0,826.0,819.0
24961.912999999997,,,,,
25062.132,,,,,
25130.456000000002,,,810.0,810.0,810.0
25162.403,,,,,
25262.191000000003,,,,,
25330.403,,,808.0,809.0,808.5
25362.22,,,,,
25462.303,,,,,
25463.357999999997,,,,,
25529.828999999998,,,,,
25531.675,,,792.0,804.0,798.0
25562.332000000002,,,,,
25662.577999999998,,,,,
25762.884,,,,,
25779.543999999998,1437045.0,468734.0,,,
25863.097,,,,,
25863.761000000002,,,797.0,795.0,796.0
25963.373,,,,,
26063.161,,,,,
26063.787,,,788.0,778.0,783.0
26163.192000000003,,,,,
26263.221,,,,,
26263.68,,,787.0,778.0,782.5
26363.252,,,,,
26463.134,,,,,
26463.495,,,,,
26464.964,,,774.0,781.0,777.5
26529.604,,,,,
26563.796000000002,,,,,
26664.025,,,,,
26730.151,,,760.0,773.0,766.5
26763.812,,,,,
26863.842,,,,,
26930.102000000003,,,753.0,769.0,761.0
27130.052000000003,,,752.0,745.0,748.5
27330.074,,,750.0,763.0,756.5
27462.909,,,,,
27529.38,,,,,
27531.224,,,742.0,745.0,743.5
27628.07,1437402.0,469077.0,,,
27729.865,,,722.0,744.0,733.0
27929.873,,,730.0,721.0,725.5
28263.307,,,705.0,699.0,702.0
28462.697999999997,,,,,
28464.526,,,701.0,680.0,690.5
28529.153,,,,,
28663.167,,,678.0,664.0,671.0
28929.664,,,652.0,662.0,657.0
29129.619,,,638.0,633.0,635.5
29329.565,,,615.0,608.0,611.5
29462.641,,,,,
29477.817000000003,1437684.0,467999.0,,,
29529.112,,,,,
29531.23,,,609.0,602.0,605.5
29729.463,,,576.0,582.0,579.0
29929.412999999997,,,565.0,553.0,559.0
30129.307,,,545.0,537.0,541.0
30329.271,,,529.0,515.0,522.0
30462.167999999998,,,,,
30528.638,,,,,
30662.617000000002,,,516.0,469.0,492.5
30862.57,,,478.0,459.0,468.5
31062.593999999997,,,473.0,431.0,452.0
31323.335,1437891.0,470008.0,,,
31328.964,,,417.0,416.0,416.5
31461.943,,,,,
31528.414,,,,,
31530.261000000002,,,398.0,399.0,398.5
31728.885,,,388.0,378.0,383.0
31928.831000000002,,,384.0,347.0,365.5
32128.859,,,347.0,330.0,338.5
32328.805,,,335.0,312.0,323.5
32461.607999999997,,,,,
32528.207000000002,,,,,
32530.058999999997,,,315.0,296.0,305.5
32862.16,,,304.0,266.0,285.0
33062.112,,,291.0,252.0,271.5
33178.142,1438075.0,474565.0,,,
33262.062999999995,,,281.0,231.0,256.0
33461.512,,,,,
33463.4,,,271.0,217.0,244.0
33527.982,,,,,
33728.507000000005,,,247.0,213.0,230.0
