Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
1724.308,818.0,873.0,845.5
1922.9279999999999,852.0,860.0,856.0
2122.953,873.0,859.0,866.0
2322.927,867.0,872.0,869.5
2522.821,864.0,860.0,862.0
2724.052,859.0,855.0,857.0
3063.857,849.0,848.0,848.5
3263.8779999999997,836.0,838.0,837.0
3463.762,825.0,836.0,830.5
3723.8579999999997,822.0,815.0,818.5
3922.5240000000003,814.0,816.0,815.0
4122.486,810.0,814.0,812.0
4322.379,791.0,798.0,794.5
4522.407999999999,792.0,803.0,797.5
4723.644,789.0,789.0,789.0
4922.298,769.0,783.0,776.0
5263.459,770.0,774.0,772.0
5463.404,763.0,767.0,765.0
5665.116,754.0,748.0,751.0
5956.009,753.0,758.0,755.5
6122.06,746.0,745.0,745.5
6322.0109999999995,738.0,745.0,741.5
6521.9,729.0,722.0,725.5
6723.141,718.0,724.0,721.0
6921.819,717.0,712.0,714.5
7121.706999999999,702.0,709.0,705.5
7321.723000000001,701.0,704.0,702.5
7664.147,692.0,690.0,691.0
7862.828,689.0,685.0,687.0
8062.776999999999,672.0,668.0,670.0
8321.43,673.0,671.0,672.0
8521.455,663.0,660.0,661.5
8722.689,662.0,661.0,661.5
8921.367,651.0,655.0,653.0
9121.329,648.0,659.0,653.5
9321.271999999999,642.0,630.0,636.0
9521.207,628.0,637.0,632.5
9722.506,620.0,635.0,627.5
10062.302,614.0,610.0,612.0
10262.253,611.0,617.0,614.0
10462.282,605.0,612.0,608.5
10722.825,591.0,587.0,589.0
10920.89,577.0,591.0,584.0
11120.893,579.0,588.0,583.5
11320.845,577.0,578.0,577.5
11520.798,557.0,556.0,556.5
11722.028,560.0,552.0,556.0
11920.691,544.0,548.0,546.0
12261.774,543.0,552.0,547.5
12461.786,530.0,522.0,526.0
