Time Offset [ms],Odometer [m],DCBus [Ah],Odometer [m],DCBus [Ah],mechanical_brake_state,cruise_control,direction,throttle,current,voltage,vehicle_velocity_right,vehicle_velocity_left
75.247,,,,,,,,,,,394,428
83.019,,,,,0,0,1,3418,,,,
183.281,,,,,0,0,1,3418,,,,
275.262,,,,,,,,,,,453,415
283.603,,,,,0,0,1,3418,,,,
383.836,,,,,0,0,1,3418,,,,
475.218,,,,,,,,,,,508,421
484.107,,,,,0,0,1,3402,,,,
584.39,,,,,0,0,1,3402,,,,
675.054,,,,,,,,,,,414,438
684.115,,,,,0,0,1,3402,,,,
784.148,,,,,0,0,1,3402,,,,
815.824,,,3438.020508,2.646008253,,,,,,,,
874.573,3337.189697,1.888322234,,,,,,,,,,
884.178,,,,,0,0,1,3394,,,,
984.257,,,,,0,0,1,3394,,,,
1084.543,,,,,0,0,1,3394,,,,
1184.319,,,,,0,0,1,3394,,,,
1216.162,,,,,,,,,,,509,474
1284.348,,,,,0,0,1,3386,,,,
1384.378,,,,,0,0,1,3386,,,,
1416.202,,,,,,,,,,,453,480
1484.441,,,,,0,0,1,3386,,,,
1584.766,,,,,0,0,1,3386,,,,
1597.784,,,,,,,,,29059744,1427104,,
1616.153,,,,,,,,,,,489,480
1685.06,,,,,0,0,1,3386,,,,
1785.331,,,,,0,0,1,3377,,,,
1815.792,,,3440.889404,2.650940657,,,,,,,,
1874.54,3340.049561,1.892406464,,,,,,,,,,
1876.661,,,,,,,,,,,480,501
1885.116,,,,,0,0,1,3361,,,,
1985.147,,,,,0,0,1,3361,,,,
2074.861,,,,,,,,,,,550,515
2085.178,,,,,0,0,1,3353,,,,
2185.395,,,,,0,0,1,3255,,,,
2274.76,,,,,,,,,,,597,549
2285.67,,,,,0,0,1,3141,,,,
2385.999,,,,,0,0,1,3108,,,,
2474.781,,,,,,,,,,,625,529
2486.232,,,,,0,0,1,3100,,,,
2586.019,,,,,0,0,1,3100,,,,
2674.781,,,,,,,,,,,539,547
2686.075,,,,,0,0,1,3108,,,,
2786.104,,,,,0,0,1,3108,,,,
2815.354,,,3444.071289,2.656499386,,,,,,,,
2874.102,3343.27002,1.897057295,,,,,,,,,,
2875.975,,,,,,,,,,,529,574
2886.207,,,,,0,0,1,3108,,,,
2986.439,,,,,0,0,1,3108,,,,
3074.667,,,,,,,,,,,608,592
3086.224,,,,,0,0,1,3133,,,,
3186.25,,,,,0,0,1,3141,,,,
3286.281,,,,,0,0,1,3149,,,,
3386.44,,,,,0,0,1,3149,,,,
3415.822,,,,,,,,,,,579,606
3447.305,,,,,,,,,33641636,1425006,,
3486.66,,,,,0,0,1,3149,,,,
3586.93,,,,,0,0,1,3149,,,,
3615.761,,,,,,,,,,,646,585
3686.712,,,,,0,0,1,3149,,,,
3786.803,,,,,0,0,1,3149,,,,
3815.1,,,3447.611084,2.66205287,,,,,,,,
3816.977,,,,,,,,,,,584,673
3873.868,3346.794434,1.901745915,,,,,,,,,,
3886.801,,,,,0,0,1,3149,,,,
3986.833,,,,,0,0,1,3149,,,,
4074.352,,,,,,,,,,,583,596
4087.105,,,,,0,0,1,3149,,,,
