,Latitude,Longitude,Elevation
0,38.92928,-95.67722,330.0
1,38.92947,-95.67726,330.0
2,38.92958,-95.67726,330.0
3,38.92983,-95.67726,330.0
4,38.93003,-95.67727,330.0
5,38.93008,-95.67728,330.0
6,38.93011,-95.67727,330.0
7,38.93015,-95.67726,330.0
8,38.93018,-95.67724,330.0
9,38.93023,-95.67722,329.0
10,38.93026,-95.6772,329.0
11,38.93028,-95.67717,329.0
12,38.9303,-95.67712,329.0
13,38.93031,-95.67709,329.0
14,38.93033,-95.67704,329.0
15,38.93033,-95.677,329.0
16,38.93034,-95.67696,329.0
17,38.93033,-95.67692,330.0
18,38.93033,-95.67688,330.0
19,38.93032,-95.67685,330.0
20,38.93031,-95.67681,330.0
21,38.9303,-95.67678,330.0
22,38.93029,-95.67675,330.0
23,38.93027,-95.67671,330.0
24,38.93025,-95.67667,330.0
25,38.9301,-95.67638,330.0
26,38.93007,-95.67634,330.0
27,38.93006,-95.6763,330.0
28,38.93005,-95.67625,330.0
29,38.93004,-95.6762,330.0
30,38.93003,-95.67615,330.0
31,38.93004,-95.6761,330.0
32,38.93005,-95.67607,330.0
33,38.93007,-95.67603,330.0
34,38.93009,-95.676,331.0
35,38.93013,-95.67595,331.0
36,38.93016,-95.67591,331.0
37,38.93044,-95.67565,331.0
38,38.93066,-95.67545,330.0
39,38.93076,-95.67535,330.0
40,38.93079,-95.67532,330.0
41,38.93081,-95.67529,330.0
42,38.93083,-95.67525,330.0
43,38.93085,-95.67522,330.0
44,38.93086,-95.67518,330.0
45,38.93088,-95.67514,330.0
46,38.93089,-95.6751,330.0
47,38.9309,-95.67505,330.0
48,38.93091,-95.675,330.0
49,38.93091,-95.67494,330.0
50,38.93091,-95.6749,330.0
51,38.9309,-95.67486,330.0
52,38.93089,-95.67481,330.0
53,38.93088,-95.67477,330.0
54,38.93087,-95.67472,329.0
55,38.93085,-95.67469,329.0
56,38.93083,-95.67466,329.0
57,38.93081,-95.67462,329.0
58,38.93078,-95.6746,329.0
59,38.93075,-95.67456,329.0
60,38.93073,-95.67453,329.0
61,38.93069,-95.67451,329.0
62,38.93066,-95.67449,329.0
63,38.93063,-95.67447,329.0
64,38.93024,-95.67422,330.0
65,38.93021,-95.6742,330.0
66,38.9302,-95.67419,330.0
67,38.93019,-95.67418,330.0
68,38.93018,-95.67416,330.0
69,38.93017,-95.67416,330.0
70,38.93016,-95.67415,330.0
71,38.93015,-95.67413,330.0
72,38.93015,-95.67412,330.0
73,38.93013,-95.67409,330.0
74,38.93013,-95.67408,330.0
75,38.93012,-95.67407,330.0
76,38.93012,-95.67405,330.0
77,38.93011,-95.67404,330.0
78,38.93011,-95.67403,330.0
79,38.9301,-95.67402,330.0
80,38.9301,-95.674,330.0
81,38.9301,-95.67399,330.0
82,38.93009,-95.67398,330.0
83,38.93009,-95.67396,330.0
84,38.93009,-95.67395,330.0
85,38.93008,-95.67393,330.0
86,38.93008,-95.67391,330.0
87,38.93008,-95.67389,330.0
88,38.93007,-95.67386,330.0
89,38.93005,-95.67371,330.0
90,38.93,-95.6734,329.0
91,38.92996,-95.67311,329.0
92,38.92993,-95.67288,328.0
93,38.92993,-95.67286,328.0
94,38.92992,-95.67285,328.0
95,38.92992,-95.67284,328.0
96,38.92991,-95.6728,328.0
97,38.92987,-95.67266,327.0
98,38.92987,-95.67265,327.0
99,38.92986,-95.67264,327.0
100,38.92979,-95.67253,327.0
101,38.92979,-95.67252,327.0
102,38.92978,-95.67252,327.0
103,38.92977,-95.6725,327.0
104,38.92975,-95.67249,327.0
105,38.92974,-95.67247,327.0
106,38.92969,-95.67243,327.0
107,38.92968,-95.67242,327.0
108,38.92964,-95.67239,327.0
109,38.92962,-95.67238,327.0
110,38.92961,-95.67237,327.0
111,38.92959,-95.67236,327.0
112,38.92958,-95.67236,327.0
113,38.92957,-95.67236,327.0
114,38.92956,-95.67235,327.0
115,38.9295,-95.67234,328.0
116,38.92949,-95.67234,328.0
117,38.92948,-95.67233,328.0
118,38.92939,-95.6723,328.0
119,38.92928,-95.67226,329.0
120,38.9291,-95.6722,329.0
121,38.92892,-95.67215,330.0
122,38.92879,-95.67211,330.0
123,38.92865,-95.67206,330.0
124,38.92851,-95.67202,330.0
125,38.9284,-95.67198,329.0
126,38.92827,-95.67194,329.0
127,38.92814,-95.6719,329.0
128,38.92798,-95.67184,329.0
129,38.92781,-95.67179,329.0
130,38.92769,-95.67175,329.0
131,38.92752,-95.6717,329.0
132,38.92734,-95.67164,330.0
133,38.92727,-95.67162,331.0
134,38.92726,-95.67162,331.0
135,38.92723,-95.67162,331.0
136,38.9272,-95.67161,331.0
137,38.92709,-95.67159,332.0
138,38.92707,-95.67159,332.0
139,38.92706,-95.67159,332.0
140,38.92702,-95.67159,332.0
141,38.92692,-95.67158,332.0
142,38.9269,-95.67158,332.0
143,38.92676,-95.6716,332.0
144,38.9267,-95.6716,332.0
145,38.92668,-95.67161,332.0
146,38.92665,-95.67162,332.0
147,38.92651,-95.67165,332.0
148,38.92646,-95.67167,332.0
149,38.92645,-95.67167,332.0
150,38.92633,-95.67172,333.0
151,38.92632,-95.67172,333.0
152,38.92631,-95.67173,333.0
153,38.92617,-95.67181,333.0
154,38.92602,-95.67189,333.0
155,38.92597,-95.67192,333.0
156,38.92596,-95.67193,333.0
157,38.92593,-95.67194,333.0
158,38.92583,-95.67197,333.0
159,38.92582,-95.67197,333.0
160,38.92581,-95.67197,333.0
161,38.9257,-95.67198,333.0
162,38.92565,-95.67198,333.0
163,38.92563,-95.67198,333.0
164,38.92562,-95.67198,333.0
165,38.9256,-95.67197,333.0
166,38.92545,-95.67194,333.0
167,38.92544,-95.67194,333.0
168,38.92542,-95.67194,333.0
169,38.92541,-95.67193,333.0
170,38.92533,-95.67189,333.0
171,38.92527,-95.67186,333.0
172,38.92526,-95.67185,333.0
173,38.92525,-95.67185,333.0
174,38.92524,-95.67184,333.0
175,38.92517,-95.67178,333.0
176,38.92516,-95.67177,333.0
177,38.92515,-95.67176,333.0
178,38.92513,-95.67173,333.0
179,38.9251,-95.67171,333.0
180,38.92509,-95.67169,333.0
181,38.92508,-95.67167,333.0
182,38.92508,-95.67166,333.0
183,38.92507,-95.67163,333.0
184,38.92506,-95.6716,333.0
185,38.92505,-95.67158,333.0
186,38.92504,-95.67156,333.0
187,38.92504,-95.67153,333.0
188,38.92503,-95.6715,333.0
189,38.92502,-95.67147,333.0
190,38.92502,-95.67145,333.0
191,38.92502,-95.6714,332.0
192,38.92502,-95.67139,332.0
193,38.92502,-95.67137,332.0
194,38.92502,-95.67135,332.0
195,38.92501,-95.67132,332.0
196,38.92501,-95.67129,332.0
197,38.92501,-95.67127,332.0
198,38.925,-95.67126,332.0
199,38.925,-95.67124,332.0
200,38.92499,-95.67123,332.0
201,38.92498,-95.67122,332.0
202,38.92496,-95.67118,332.0
203,38.92495,-95.67117,332.0
204,38.92494,-95.67116,332.0
205,38.92493,-95.67115,332.0
206,38.92489,-95.67112,332.0
207,38.92489,-95.67111,332.0
208,38.92488,-95.67111,332.0
209,38.92486,-95.6711,332.0
210,38.92482,-95.67109,332.0
211,38.92481,-95.67109,332.0
212,38.9248,-95.67109,332.0
213,38.92468,-95.67107,332.0
214,38.92453,-95.67106,332.0
215,38.92436,-95.67104,332.0
216,38.92411,-95.67101,332.0
217,38.92387,-95.67099,332.0
218,38.92384,-95.67098,332.0
219,38.92379,-95.67098,332.0
220,38.92378,-95.67097,332.0
221,38.92347,-95.67094,332.0
222,38.92294,-95.67089,332.0
223,38.92268,-95.67085,333.0
224,38.92246,-95.67083,333.0
225,38.92213,-95.67079,333.0
226,38.92178,-95.67074,333.0
227,38.92142,-95.6707,333.0
228,38.92108,-95.67066,333.0
229,38.92102,-95.67065,333.0
230,38.92099,-95.67065,333.0
231,38.92092,-95.67064,333.0
232,38.92091,-95.67064,333.0
233,38.92088,-95.67064,333.0
234,38.92077,-95.67064,333.0
235,38.92076,-95.67064,333.0
236,38.92075,-95.67064,333.0
237,38.92074,-95.67064,333.0
238,38.92062,-95.67067,333.0
239,38.92061,-95.67067,333.0
240,38.92058,-95.67069,333.0
241,38.92051,-95.67072,333.0
242,38.9205,-95.67072,333.0
243,38.92049,-95.67073,333.0
244,38.92048,-95.67075,333.0
245,38.92035,-95.67088,333.0
246,38.92028,-95.67095,333.0
247,38.92027,-95.67096,333.0
248,38.92027,-95.67098,333.0
249,38.92023,-95.67106,333.0
250,38.92022,-95.67108,333.0
251,38.92016,-95.67122,332.0
252,38.92002,-95.6716,330.0
253,38.91991,-95.67187,329.0
254,38.91982,-95.67212,328.0
255,38.91972,-95.67236,328.0
256,38.91966,-95.67251,329.0
257,38.91966,-95.67253,329.0
258,38.91965,-95.67254,329.0
259,38.91965,-95.67255,329.0
260,38.91965,-95.67256,329.0
261,38.91965,-95.6726,329.0
262,38.91965,-95.67262,329.0
263,38.91965,-95.67263,328.0
264,38.91965,-95.67264,328.0
265,38.91966,-95.67265,328.0
266,38.91968,-95.67273,328.0
267,38.91968,-95.67274,328.0
268,38.9197,-95.67277,328.0
269,38.91971,-95.67279,328.0
270,38.91972,-95.67281,328.0
271,38.91973,-95.67282,328.0
272,38.91974,-95.67282,327.0
273,38.9198,-95.67286,327.0
274,38.91981,-95.67286,327.0
275,38.91981,-95.67287,327.0
276,38.91982,-95.67287,327.0
277,38.91984,-95.67287,326.0
278,38.91992,-95.67287,326.0
279,38.91993,-95.67287,326.0
280,38.91995,-95.67287,326.0
281,38.92006,-95.67286,325.0
282,38.92022,-95.67284,326.0
283,38.92034,-95.67283,326.0
284,38.92049,-95.67282,326.0
285,38.92071,-95.6728,326.0
286,38.92095,-95.67278,326.0
287,38.92131,-95.67275,328.0
288,38.92142,-95.67274,329.0
289,38.92143,-95.67274,329.0
290,38.92144,-95.67274,329.0
291,38.92146,-95.67274,329.0
292,38.92152,-95.67274,329.0
293,38.92153,-95.67275,329.0
294,38.92154,-95.67275,329.0
295,38.92156,-95.67275,330.0
296,38.92158,-95.67275,330.0
297,38.92161,-95.67275,330.0
298,38.92162,-95.67276,330.0
299,38.92163,-95.67276,330.0
300,38.92165,-95.67277,330.0
301,38.92168,-95.67278,330.0
302,38.92169,-95.67278,330.0
303,38.92171,-95.67279,331.0
304,38.92172,-95.6728,331.0
305,38.92175,-95.67281,331.0
306,38.92175,-95.67282,331.0
307,38.92176,-95.67283,331.0
308,38.92179,-95.67286,331.0
309,38.92181,-95.67288,331.0
310,38.92182,-95.67289,332.0
311,38.92183,-95.67291,332.0
312,38.92185,-95.67295,332.0
313,38.92186,-95.67298,332.0
314,38.92188,-95.67301,332.0
315,38.92189,-95.67304,332.0
316,38.92189,-95.67305,332.0
317,38.92189,-95.67306,332.0
318,38.92189,-95.67307,332.0
319,38.92189,-95.67315,332.0
320,38.92189,-95.67317,332.0
321,38.92188,-95.67324,332.0
322,38.92188,-95.67327,332.0
323,38.92186,-95.67333,332.0
324,38.9218,-95.6735,332.0
325,38.9217,-95.67381,330.0
326,38.92158,-95.67417,330.0
327,38.92151,-95.67436,329.0
328,38.9215,-95.67441,329.0
329,38.92149,-95.67442,329.0
330,38.92147,-95.67444,329.0
331,38.92146,-95.67445,329.0
332,38.92145,-95.67447,329.0
333,38.92144,-95.67448,329.0
334,38.9214,-95.67452,328.0
335,38.92135,-95.67456,328.0
336,38.92132,-95.67459,328.0
337,38.92131,-95.6746,328.0
338,38.9213,-95.67461,327.0
339,38.92129,-95.67461,327.0
340,38.9212,-95.67466,327.0
341,38.92117,-95.67466,327.0
342,38.92116,-95.67467,327.0
343,38.92112,-95.67468,326.0
344,38.92109,-95.67468,326.0
345,38.92107,-95.67468,326.0
346,38.92104,-95.67468,326.0
347,38.921,-95.67469,326.0
348,38.92099,-95.67469,326.0
349,38.92096,-95.67468,325.0
350,38.92089,-95.67467,325.0
351,38.92076,-95.67465,324.0
352,38.92062,-95.67462,323.0
353,38.9205,-95.6746,323.0
354,38.92028,-95.67455,320.0
355,38.92009,-95.67451,320.0
356,38.91984,-95.67447,322.0
357,38.91982,-95.67447,322.0
358,38.91981,-95.67447,323.0
359,38.9198,-95.67447,323.0
360,38.9197,-95.67448,324.0
361,38.91968,-95.67448,324.0
362,38.91957,-95.67451,325.0
363,38.91956,-95.67451,325.0
364,38.91954,-95.67452,325.0
365,38.91946,-95.67456,325.0
366,38.91945,-95.67457,325.0
367,38.91943,-95.67458,325.0
368,38.91937,-95.67463,326.0
369,38.91936,-95.67464,326.0
370,38.91935,-95.67465,326.0
371,38.91929,-95.6747,326.0
372,38.91928,-95.67471,326.0
373,38.91927,-95.67472,326.0
374,38.91918,-95.67484,326.0
375,38.91917,-95.67485,326.0
376,38.91917,-95.67486,326.0
377,38.91911,-95.67496,325.0
378,38.9191,-95.67497,325.0
379,38.9191,-95.67498,325.0
380,38.91904,-95.67509,325.0
381,38.91904,-95.6751,325.0
382,38.91904,-95.67511,325.0
383,38.919,-95.67526,323.0
384,38.919,-95.67527,323.0
385,38.91898,-95.67539,323.0
386,38.91898,-95.67556,322.0
387,38.91898,-95.67557,322.0
388,38.91901,-95.67579,321.0
389,38.91901,-95.6758,321.0
390,38.91903,-95.67588,320.0
391,38.91905,-95.67597,320.0
392,38.91905,-95.67598,320.0
393,38.91906,-95.67599,320.0
394,38.91909,-95.67606,319.0
395,38.91912,-95.67612,319.0
396,38.91913,-95.67613,319.0
397,38.91917,-95.6762,318.0
398,38.91921,-95.67626,318.0
399,38.91922,-95.67627,318.0
400,38.91922,-95.67628,318.0
401,38.9193,-95.67637,318.0
402,38.91931,-95.67639,318.0
403,38.91932,-95.6764,317.0
404,38.91933,-95.67641,317.0
405,38.91941,-95.67646,317.0
406,38.91948,-95.6765,317.0
407,38.91955,-95.67654,316.0
408,38.91958,-95.67655,316.0
409,38.91961,-95.67656,316.0
410,38.9197,-95.67658,316.0
411,38.91971,-95.67659,316.0
412,38.91973,-95.67659,316.0
413,38.91982,-95.67661,316.0
414,38.91992,-95.67663,316.0
415,38.92005,-95.67665,317.0
416,38.9202,-95.67668,318.0
417,38.92037,-95.67671,318.0
418,38.92081,-95.67679,321.0
419,38.92121,-95.67687,323.0
420,38.92131,-95.67689,323.0
421,38.92133,-95.67689,323.0
422,38.92134,-95.67689,324.0
423,38.9214,-95.67689,324.0
424,38.92143,-95.6769,324.0
425,38.92148,-95.67691,325.0
426,38.92159,-95.67693,325.0
427,38.92169,-95.67695,326.0
