,Latitude,Longitude,Turn Angle(Degrees), Turn Radius(m)
0,38.9303578,-95.6770314,75.32413,26.26
1,38.9300093,-95.676098,60.54979,21.85
2,38.9309007,-95.6747545,59.91151,40.43
3,38.9301212,-95.6741034,38.71125,29.28
4,38.9296713,-95.6724013,44.47877,56.69
5,38.9266746,-95.671597,28.10268,196.99
6,38.9253942,-95.6719569,41.65738,92.93
7,38.9249289,-95.671104,68.97411,23.24
8,38.9204482,-95.6706639,61.30375,73.88
9,38.9195891,-95.6728838,109.98224,22.08
10,38.9219949,-95.6727388,105.92031,31.37
11,38.9212918,-95.674688,68.20168,62.03
12,38.9189546,-95.6752807,75.96846,88.51
13,38.9222133,-95.6770474,94.73346,19.29
14,38.9224721,-95.6757438,62.27276,38.34
15,38.9238349,-95.6756487,24.46972,137.76
16,38.9259258,-95.6766045,15.28128,182.36
