,Latitude,Longitude,Elevation
0,38.9292835,-95.6772234,330
1,38.9294703,-95.6772569,330
2,38.9295829,-95.6772569,330
3,38.9298271,-95.6772636,330
4,38.9300253,-95.6772703,330
5,38.9300795,-95.6739115,330
6,38.9301119,-95.677269,330
7,38.9301505,-95.6772582,330
8,38.9301849,-95.6772435,330
9,38.9302266,-95.6772234,329
10,38.9302579,-95.6771965,329
11,38.9302809,-95.677167,329
12,38.9302997,-95.6771228,329
13,38.9303132,-95.6770879,329
14,38.9303278,-95.6770437,329
15,38.9303331,-95.6768787,330
16,38.9303362,-95.6769605,329
17,38.9303341,-95.6769203,330
18,38.9303226,-95.6768452,330
19,38.9303122,-95.6768117,330
20,38.9303028,-95.6767795,330
21,38.9302882,-95.6767486,330
22,38.9302715,-95.6767138,330
23,38.9302506,-95.6766655,330
24,38.9300952,-95.6763838,330
25,38.9300722,-95.6763356,330
26,38.9300608,-95.6762967,330
27,38.9300482,-95.6762524,330
28,38.9300357,-95.6762041,330
29,38.9300347,-95.6761532,330
30,38.9300399,-95.6761049,330
31,38.9300514,-95.676066,330
32,38.930066,-95.6760325,330
33,38.9300879,-95.6759963,331
34,38.9301296,-95.6759493,331
35,38.9301588,-95.6759104,331
36,38.9304374,-95.6756476,331
37,38.9306638,-95.6744862,329
38,38.9307608,-95.6753539,330
39,38.93079,-95.6753163,330
40,38.930814,-95.6752895,330
41,38.9308317,-95.6752533,330
42,38.9308474,-95.674686,329
43,38.9308609,-95.6751782,330
44,38.9308787,-95.6751353,330
45,38.9308912,-95.6750964,330
46,38.9309016,-95.6748563,330
47,38.9309079,-95.6748979,330
48,38.93091,-95.6749448,330
49,38.9308922,-95.6748121,330
50,38.9308828,-95.6747665,330
51,38.9308651,-95.6747236,329
52,38.9308286,-95.6746565,329
53,38.9308088,-95.6746243,329
54,38.9307827,-95.6745961,329
55,38.9307535,-95.6745613,329
56,38.9307253,-95.6745331,329
57,38.930694,-95.674509,329
58,38.9306325,-95.6744674,329
59,38.9302412,-95.6742206,330
60,38.9302126,-95.6742025,330
61,38.9301993,-95.6741898,330
62,38.9301865,-95.6741764,330
63,38.9301758,-95.6741643,330
64,38.9301687,-95.6741559,330
65,38.9301601,-95.6741459,330
66,38.9301533,-95.6741335,330
67,38.9301468,-95.6741211,330
68,38.9301322,-95.6740916,330
69,38.930126,-95.6740788,330
70,38.9301202,-95.6740667,330
71,38.9301161,-95.674052,330
72,38.9301111,-95.6740399,330
73,38.9301082,-95.6740299,330
74,38.9301043,-95.6740168,330
75,38.9300999,-95.674003,330
76,38.9300962,-95.6739896,330
77,38.9300923,-95.6739789,330
78,38.9300884,-95.6739611,330
79,38.9300858,-95.673946,330
80,38.9300835,-95.6739326,330
81,38.9300759,-95.6738894,330
82,38.9300699,-95.6738599,330
83,38.9300467,-95.6737057,330
84,38.9300028,-95.6733996,329
85,38.9299616,-95.6731113,329
86,38.9299303,-95.6728793,328
87,38.9299275,-95.6728611,328
88,38.9299236,-95.6728481,328
89,38.9299209,-95.6728387,328
90,38.9299095,-95.6727988,328
91,38.9298706,-95.6726596,327
92,38.9298683,-95.6726529,327
93,38.9298633,-95.6726442,327
94,38.9298586,-95.6726379,327
95,38.9297924,-95.6725326,327
96,38.9297882,-95.6725249,327
97,38.9297828,-95.6725172,327
98,38.9297657,-95.672501,327
99,38.929754,-95.672491,327
100,38.9297381,-95.6724745,327
101,38.9296917,-95.6724283,327
102,38.9296849,-95.6724212,327
103,38.9296763,-95.6724159,327
104,38.9296392,-95.6723941,327
105,38.9296218,-95.6723837,327
106,38.9296056,-95.6723736,327
107,38.929585,-95.6723605,327
108,38.9295806,-95.6723568,327
109,38.9295722,-95.6723568,328
110,38.9295563,-95.6723511,328
111,38.9295044,-95.6723387,328
112,38.9294929,-95.6723351,328
113,38.9294835,-95.672331,329
114,38.9293923,-95.6722995,329
115,38.9292757,-95.6722596,330
116,38.9290999,-95.672204,330
117,38.9289176,-95.6721453,330
118,38.9287895,-95.6721054,330
119,38.9286479,-95.6720595,329
120,38.928512,-95.6720162,329
121,38.9283998,-95.6719793,329
122,38.9282676,-95.6719381,329
123,38.9281395,-95.6718955,329
124,38.9279796,-95.6718449,329
125,38.9278093,-95.6717886,329
126,38.9276907,-95.671753,330
127,38.9275193,-95.6716967,331
128,38.9273357,-95.6716444,331
129,38.9272699,-95.6716239,331
130,38.9272595,-95.6716216,331
131,38.9272321,-95.6716166,332
132,38.9271998,-95.6716112,332
133,38.9270887,-95.6715914,332
134,38.9270673,-95.6715871,332
135,38.9270587,-95.6715867,332
136,38.9270196,-95.671586,332
137,38.926923,-95.6715824,332
138,38.926916,-95.671582,332
139,38.9268998,-95.671584,332
140,38.9267624,-95.6715974,332
141,38.9267024,-95.6716028,332
142,38.9266951,-95.6716048,332
143,38.9266763,-95.6716109,332
144,38.9266549,-95.6716166,333
145,38.9265122,-95.6716544,333
146,38.9264648,-95.6716665,333
147,38.9264575,-95.6716685,333
148,38.9264499,-95.6716719,333
149,38.9263252,-95.6717205,333
150,38.9263192,-95.6717222,333
151,38.9263148,-95.6717269,333
152,38.9261661,-95.6718073,333
153,38.9260229,-95.6718901,333
154,38.9259676,-95.6719227,333
155,38.9259593,-95.6719264,333
156,38.9259303,-95.6719351,333
157,38.9258323,-95.6719699,333
158,38.9258247,-95.6719726,333
159,38.9258177,-95.6719733,333
160,38.9258098,-95.6719733,333
161,38.9257042,-95.6719766,333
162,38.9256478,-95.6719785,333
163,38.9256314,-95.6719802,333
164,38.9256181,-95.6719769,333
165,38.9256027,-95.6719732,333
166,38.9254463,-95.6719412,333
167,38.9254358,-95.6719385,333
168,38.9254249,-95.6719352,333
169,38.9254144,-95.6719285,333
170,38.9253255,-95.6718855,333
171,38.925265,-95.6718567,333
172,38.9252558,-95.6718527,333
173,38.9252509,-95.671848,333
174,38.9252378,-95.6718356,333
175,38.9251721,-95.6717783,333
176,38.9251606,-95.6717689,333
177,38.9251489,-95.6717581,333
178,38.9251286,-95.671734,333
179,38.9251043,-95.6717062,333
180,38.9250942,-95.6716917,333
181,38.925083,-95.6716739,333
182,38.9250754,-95.6716558,333
183,38.925066,-95.671631,333
184,38.9250551,-95.6716042,332
185,38.9250452,-95.6715824,332
186,38.9250399,-95.6715609,332
187,38.9250358,-95.6715348,332
188,38.9250303,-95.6715042,332
189,38.9250245,-95.6714506,332
190,38.925024,-95.6713896,332
191,38.9250219,-95.6713745,332
192,38.9250175,-95.6713507,332
193,38.9250141,-95.6713229,332
194,38.9250092,-95.6712944,332
195,38.9250052,-95.6712682,332
196,38.9250039,-95.6712565,332
197,38.9249966,-95.6712424,332
198,38.9249912,-95.671233,332
199,38.9249805,-95.6712156,332
200,38.9249609,-95.6711794,332
201,38.9249515,-95.671168,332
202,38.9249442,-95.6711619,332
203,38.9249309,-95.6711505,332
204,38.9248949,-95.671119,332
205,38.9248894,-95.671114,332
206,38.9248782,-95.671112,332
207,38.9248576,-95.6711036,332
208,38.9248196,-95.671092,332
209,38.9248084,-95.6710883,332
210,38.9247975,-95.6710863,332
211,38.924684,-95.6710742,332
212,38.9245322,-95.6710578,332
213,38.9243616,-95.671039,332
214,38.924106,-95.6710118,332
215,38.9238668,-95.6709877,333
216,38.9238363,-95.670983,333
217,38.9237896,-95.6709773,333
218,38.9237763,-95.6709743,333
219,38.9234651,-95.6709424,333
220,38.9229381,-95.6708863,333
221,38.9226838,-95.6708538,333
222,38.9224584,-95.6708287,333
223,38.922131,-95.6707874,333
224,38.9217763,-95.6707442,333
225,38.9214213,-95.6707006,333
226,38.921078,-95.6706617,333
227,38.9210232,-95.670653,333
228,38.9209883,-95.6706493,333
229,38.920923,-95.6706413,333
230,38.9209066,-95.6706389,333
231,38.9208821,-95.6706396,333
232,38.9207715,-95.6706376,333
233,38.9207613,-95.6706379,333
234,38.9207545,-95.6706393,333
235,38.9207449,-95.6706416,333
236,38.9206215,-95.6706671,333
237,38.9206142,-95.6706681,333
238,38.9206072,-95.6706714,333
