Time (s) - Voltage	Voltage - Voltage	Time (s) - Current	Current - Current	Time (s) - Power	Power - Power		Capacity (Ah)	Capacity (Wh)	SoC (%) of Ah	Time - Temp	Temperature	Units-Temp
0	3.98318	0	2.9994	0	11.9472		0	0	100	1	25.72	  C
1	3.97758	1	2.99956	1	11.931		0.000833211	0.003314164	99.97502554	2	25.72	  C
2	3.97456	2	2.9994	2	11.9213		0.001666378	0.006625635	99.95005241	3	25.72	  C
3	3.97107	3	2.99956	3	11.9115		0.002499589	0.009934374	99.92507795	4	25.72	  C
4	3.96881	4	2.9994	4	11.904		0.003332756	0.013241055	99.90010482	5	25.73	  C
5	3.96608	5	2.99956	5	11.8965		0.004165967	0.016545637	99.87513036	6	25.73	  C
6	3.96419	6	2.99956	6	11.8908		0.004999178	0.019848644	99.8501559	7	25.73	  C
7	3.96176	7	2.99956	7	11.8835 	0.005832389	0.023149626	99.82518143	8	25.73	  C
8	3.96017	8	2.99956	8	11.8788		0.0066656	0.026449284	99.80020697	9	25.73	  C
9	3.95836	9	2.99956	9	11.8733		0.007498811	0.029747433	99.77523251	10	25.74	  C
10	3.95624	10	2.99956	10	11.867		0.008332022	0.033043816	99.75025805	11	25.75	  C
11	3.95488	11	2.99956	11	11.8629		0.009165233	0.036339066	99.72528359	12	25.75	  C
12	3.95306	12	2.99956	12	11.8574		0.009998444	0.0396328	99.70030913	13	25.75	  C
13	3.95177	13	2.99956	13	11.8536		0.010831656	0.042925459	99.67533466	14	25.76	  C
14	3.95018	14	2.99956	14	11.8488		0.011664867	0.046216792	99.6503602	15	25.77	  C
15	3.94897	15	2.99956	15	11.8452		0.012498078	0.049507118	99.62538574	16	25.77	  C
16	3.94753	16	2.99956	16	11.8409		0.013331289	0.052796244	99.60041128	17	25.78	  C
17	3.9464	17	2.99956	17	11.8375		0.0141645	0.056084428	99.57543682	18	25.78	  C
18	3.94504	18	2.9994	18	11.8328		0.014997667	0.059371304	99.55046369	19	25.79	  C
19	3.94397	19	2.99956	19	11.8302		0.015830878	0.062657464	99.52548923	20	25.79	  C
20	3.94299	20	2.99956	20	11.8272		0.016664089	0.065942807	99.50051477	21	25.80	  C
21	3.9417	21	2.99956	21	11.8234		0.0174973	0.069227075	99.4755403	22	25.81	  C
22	3.9408	22	2.99956	22	11.8207		0.018330511	0.072510593	99.45056584	23	25.81	  C
23	3.93958	23	2.9994	23	11.8164		0.019163678	0.07579292	99.42559271	24	25.81	  C
24	3.93875	24	2.99956	24	11.8145		0.019996889	0.07907473	99.40061825	25	25.82	  C
25	3.93761	25	2.99956	25	11.8111		0.0208301	0.082355591	99.37564379	26	25.82	  C
26	3.93686	26	2.99956	26	11.8088		0.021663311	0.085635826	99.35066933	27	25.82	  C
27	3.93579	27	2.99956	27	11.8056		0.022496522	0.08891517	99.32569487	28	25.82	  C
28	3.93497	28	2.99956	28	11.8032		0.023329733	0.092193831	99.30072041	29	25.83	  C
29	3.93398	29	2.9994	29	11.7996		0.0241629	0.095471492	99.27574728	30	25.84	  C
30	3.93323	30	2.99956	30	11.798		0.024996111	0.098748703	99.25077282	31	25.84	  C
31	3.93246	31	2.99956	31	11.7956		0.025829322	0.102025272	99.22579835	32	25.85	  C
32	3.93156	32	2.9994	32	11.7923		0.026662489	0.105300917	99.20082522	33	25.85	  C
33	3.93088	33	2.99956	33	11.7909		0.0274957	0.10857617	99.17585076	34	25.86	  C
34	3.92996	34	2.99956	34	11.7882		0.028328911	0.111850656	99.1508763	35	25.86	  C
35	3.92937	35	2.9994	35	11.7858		0.029162078	0.115124476	99.12590317	36	25.87	  C
36	3.92853	36	2.99956	36	11.7839		0.029995289	0.118397771	99.10092871	37	25.88	  C
37	3.92784	37	2.99956	37	11.7818		0.0308285	0.121670491	99.07595425	38	25.89	  C
38	3.92702	38	2.99956	38	11.7793		0.031661711	0.124942528	99.05097979	39	25.89	  C
