Cell ID,dy,dz,Angle (Radians),Angle (Degrees)
A1,16.97,123.84,0.136183478,7.802738505
A2,16.64,123.88,0.133524315,7.650379724
A3,16.58,123.89,0.133037916,7.622511111
A4,16.46,123.9,0.132075699,7.56738015
A5,16.39,123.92,0.131499502,7.534366479
A6,16.37,123.92,0.131340879,7.525278052
A7,16.36,123.92,0.131261565,7.520733696
A8,16.36,123.92,0.131261565,7.520733696
A9,16.37,123.92,0.131340879,7.525278052
A10,16.39,123.92,0.131499502,7.534366479
A11,16.46,123.9,0.132075699,7.56738015
A12,16.58,123.89,0.133037916,7.622511111
A13,16.64,123.88,0.133524315,7.650379724
A14,16.97,123.84,0.136183478,7.802738505
B1,13.02,124.32,0.104349327,5.978776038
B2,13.01,124.31,0.104278089,5.974694382
B3,13,124.31,0.104198516,5.970135177
B4,12.98,124.31,0.104039365,5.961016539
B5,12.97,124.32,0.103951486,5.955981428
B6,12.96,124.32,0.103871914,5.951422279
B7,12.96,124.33,0.103863619,5.950947035
B8,12.96,124.33,0.103863619,5.950947035
B9,12.96,124.32,0.103871914,5.951422279
B10,12.97,124.32,0.103951486,5.955981428
B11,12.98,124.31,0.104039365,5.961016539
B12,12.99,124.31,0.104118941,5.965575896
B13,13.01,124.31,0.104278089,5.974694382
B14,13.02,124.32,0.104349327,5.978776038
C1,9.23,124.66,0.073906534,4.234532502
C2,9.42,124.63,0.075440285,4.322409942
C3,9.47,124.63,0.075839182,4.34526503
C4,9.5,124.63,0.076078508,4.358977419
C5,9.53,124.63,0.076317826,4.372689307
C6,9.54,124.63,0.076397596,4.377259825
C7,9.54,124.64,0.076391491,4.376909997
C8,9.54,124.64,0.076391491,4.376909997
C9,9.54,124.63,0.076397596,4.377259825
C10,9.53,124.63,0.076317826,4.372689307
C11,9.5,124.63,0.076078508,4.358977419
C12,9.47,124.63,0.075839182,4.34526503
C13,9.42,124.63,0.075440285,4.322409942
C14,9.23,124.66,0.073906534,4.234532502
D1,5.6,124.88,0.044813027,2.567597329
D2,5.91,124.85,0.047301495,2.710176006
D3,6.04,124.84,0.048344231,2.76992039
D4,6.06,124.84,0.048504061,2.779077956
D5,6.11,124.84,0.048903624,2.801971251
D6,6.14,124.85,0.049139425,2.815481633
D7,6.15,124.85,0.049219327,2.820059712
D8,6.15,124.85,0.049219327,2.820059712
D9,6.14,124.85,0.049139425,2.815481633
D10,6.11,124.84,0.048903624,2.801971251
D11,6.06,124.84,0.048504061,2.779077956
D12,6.04,124.84,0.048344231,2.76992039
D13,5.92,124.85,0.047381411,2.714754898
D14,5.6,124.88,0.044813027,2.567597329
E1,2.18,124.99,0.017439627,0.999217027
E2,2.55,124.96,0.020403698,1.169045793
E3,2.72,124.96,0.021763529,1.24695834
E4,2.73,124.96,0.021843516,1.25154129
E5,2.8,124.96,0.022403421,1.28362149
E6,2.83,124.96,0.022643376,1.297369902
E7,2.84,124.97,0.022721543,1.301848527
E8,2.84,124.97,0.022721543,1.301848527
E9,2.83,124.97,0.022641565,1.297266123
E10,2.8,124.96,0.022403421,1.28362149
E11,2.73,124.96,0.021843516,1.25154129
E12,2.7,124.96,0.021603553,1.237792392
E13,2.55,124.96,0.020403698,1.169045793
E14,2.18,124.99,0.017439627,0.999217027
F1,1.06,125,0.008479797,0.485856564
F2,0.66,124.99,0.005280373,0.302543108
F3,0.52,124.99,0.004160309,0.238368137
F4,0.44,124.99,0.003520267,0.201696447
F5,0.39,124.99,0.003120239,0.178776554
F6,0.36,125,0.002879992,0.165011389
F7,0.35,125,0.002799993,0.160427763
F8,0.35,125,0.002799993,0.160427763
F9,0.36,125,0.002879992,0.165011389
F10,0.39,124.99,0.003120239,0.178776554
F11,0.44,124.99,0.003520267,0.201696447
F12,0.52,124.99,0.004160309,0.238368137
F13,0.66,124.99,0.005280373,0.302543108
F14,1.06,125,0.008479797,0.485856564
G1,4.1,124.94,0.03280398,1.879529588
G2,3.72,124.94,0.029765498,1.705437408
G3,3.53,124.94,0.028246047,1.618379303
G4,3.53,124.94,0.028246047,1.618379303
G5,3.46,124.95,0.027684002,1.586176468
G6,3.43,124.95,0.027444088,1.572430428
G7,3.42,124.95,0.027364116,1.567848374
G8,3.42,124.95,0.027364116,1.567848374
G9,3.43,124.95,0.027444088,1.572430428
G10,3.46,124.95,0.027684002,1.586176468
G11,3.53,124.94,0.028246047,1.618379303
G12,3.53,124.94,0.028246047,1.618379303
G13,3.72,124.94,0.029765498,1.705437408
G14,4.1,124.94,0.03280398,1.879529588
H1,6.94,124.81,0.055547318,3.182626871
H2,6.6,124.82,0.052826946,3.026761027
H3,6.43,124.83,0.051464569,2.948702604
H4,6.38,124.83,0.051065076,2.925813341
H5,6.36,124.83,0.050905274,2.916657374
H6,6.33,124.84,0.050661515,2.90269101
H7,6.32,124.84,0.050581618,2.898113224
H8,6.32,124.84,0.050581618,2.898113224
H9,6.33,124.84,0.050661515,2.90269101
H10,6.36,124.83,0.050905274,2.916657374
H11,6.38,124.83,0.051065076,2.925813341
H12,6.43,124.83,0.051464569,2.948702604
H13,6.6,124.82,0.052826946,3.026761027
H14,6.94,124.81,0.055547318,3.182626871
I1,9.88,124.61,0.079121854,4.533348308
I2,9.31,124.65,0.074550709,4.271440984
I3,9.15,124.66,0.073268258,4.197961942
I4,9.09,124.67,0.072783693,4.170198426
I5,9.09,124.67,0.072783693,4.170198426
I6,9.07,124.67,0.072624116,4.161055336
I7,9.06,124.67,0.072544326,4.156483711
I8,9.06,124.67,0.072544326,4.156483711
I9,9.07,124.67,0.072624116,4.161055336
I10,9.09,124.67,0.072783693,4.170198426
I11,9.09,124.67,0.072783693,4.170198426
I12,9.15,124.66,0.073268258,4.197961942
I13,9.31,124.65,0.074550709,4.271440984
I14,9.88,124.61,0.079121854,4.533348308
J1,12.28,124.39,0.098402911,5.638071492
J2,11.84,124.44,0.094860691,5.43511724
J3,11.71,124.45,0.093817787,5.375363221
J4,11.67,124.45,0.093499184,5.357108611
J5,11.66,124.45,0.09341953,5.352544788
J6,11.65,124.45,0.093339875,5.347980897
J7,11.64,124.45,0.093260219,5.343416938
J8,11.64,124.45,0.093260219,5.343416938
J9,11.65,124.45,0.093339875,5.347980897
J10,11.66,124.45,0.09341953,5.352544788
J11,11.67,124.45,0.093499184,5.357108611
J12,11.71,124.45,0.093817787,5.375363221
J13,11.84,124.44,0.094860691,5.43511724
J14,12.28,124.39,0.098402911,5.638071492
K1,14.4,124.17,0.115454301,6.615044163
K2,14.31,124.18,0.114729889,6.573538404
K3,14.12,124.2,0.113201565,6.485971915
K4,14.08,124.2,0.112883602,6.467753966
K5,14.07,124.2,0.112804108,6.463199274
K6,14.07,124.2,0.112804108,6.463199274
K7,14.06,124.2,0.112724612,6.458644499
K8,14.06,124.2,0.112724612,6.458644499
K9,14.07,124.2,0.112804108,6.463199274
K10,14.07,124.2,0.112804108,6.463199274
K11,14.08,124.2,0.112883602,6.467753966
K12,14.12,124.2,0.113201565,6.485971915
K13,14.31,124.18,0.114729889,6.573538404
K14,14.41,124.17,0.115533766,6.619597188
L1,16.74,123.87,0.13432787,7.696420034
L2,16.67,123.88,0.133762185,7.664008685
L3,16.57,123.9,0.132948014,7.617360076
L4,16.56,123.9,0.132868721,7.612816927
L5,16.55,123.91,0.132778835,7.607666857
L6,16.55,123.9,0.132789426,7.608273682
L7,16.55,123.9,0.132789426,7.608273682
L8,16.55,123.9,0.132789426,7.608273682
L9,16.55,123.9,0.132789426,7.608273682
L10,16.56,123.91,0.132858123,7.612209749
L11,16.57,123.9,0.132948014,7.617360076
L12,16.67,123.88,0.133762185,7.664008685
L13,16.74,123.88,0.134317157,7.6958062
M1,18.7,123.6,0.15015572,8.603289006
M2,18.71,123.6,0.150234814,8.607820798
M3,18.68,123.61,0.149985571,8.593540206
M4,18.67,123.6,0.149918424,8.589692977
M5,18.67,123.6,0.149918424,8.589692977
M6,18.67,123.62,0.149894531,8.588324009
M7,18.67,123.61,0.149906477,8.589008439
M8,18.67,123.6,0.149918424,8.589692977
M9,18.67,123.62,0.149894531,8.588324009
M10,18.67,123.6,0.149918424,8.589692977
M11,18.67,123.61,0.149906477,8.589008439
M12,18.71,123.6,0.150234814,8.607820798
M13,18.7,123.59,0.150167687,8.603974703
N1,20.53,123.3,0.164990851,9.453279433
N2,20.6,123.3,0.165543207,9.484927065
N3,20.64,123.29,0.165872,9.50376553
N4,20.65,123.29,0.165950897,9.508286013
N5,20.65,123.29,0.165950897,9.508286013
N6,20.65,123.29,0.165950897,9.508286013
N7,20.65,123.29,0.165950897,9.508286013
N8,20.65,123.28,0.165964113,9.509043205
N9,20.65,123.28,0.165964113,9.509043205
N10,20.65,123.28,0.165964113,9.509043205
N11,20.64,123.29,0.165872,9.50376553
N12,20.6,123.3,0.165543207,9.484927065
N13,20.53,123.31,0.164977713,9.452526641
O1,22.51,122.96,0.181062732,10.37413039
O2,22.63,122.93,0.182050292,10.43071339
O3,22.79,123.41,0.182611691,10.46287917
O4,22.71,122.92,0.182694198,10.46760648
O5,22.71,122.92,0.182694198,10.46760648
O6,22.71,122.92,0.182694198,10.46760648
O7,22.81,123.41,0.182768403,10.47185813
O8,22.71,122.92,0.182694198,10.46760648
O9,22.8,123.41,0.182690048,10.46736872
O10,22.7,122.92,0.182615528,10.46309905
O11,22.63,122.93,0.182050292,10.43071339
O12,22.51,122.96,0.181062732,10.37413039
P1,24.26,123.13,0.19453579,11.14607976
P2,24.32,122.61,0.195810924,11.21913955
P3,24.44,122.59,0.19678369,11.27487489
P4,24.47,122.68,0.196878213,11.28029069
P5,24.46,122.58,0.196956248,11.28476174
P6,24.57,123.17,0.196895888,11.28130337
P7,24.48,122.68,0.196956606,11.28478226
P8,24.48,122.68,0.196956606,11.28478226
P9,24.45,122.58,0.196877791,11.2802665
P10,24.46,122.68,0.196799818,11.27579898
P11,24.34,122.71,0.195812216,11.21921356
P12,24.18,122.74,0.194511013,11.1446601
PA1,25.8,122.41,0.207726775,11.9018675
PA2,25.92,122.38,0.208714884,11.958482
PA3,26.06,122.25,0.210026104,12.03360933
PA4,26.09,122.35,0.210093987,12.03749874
PA5,26.1,122.35,0.210172163,12.04197793
PA6,26.1,122.35,0.210172163,12.04197793
PA7,26.08,122.25,0.210182587,12.04257514
PA8,26.1,122.35,0.210172163,12.04197793
PA9,26.07,122.25,0.210104347,12.03809231
PA10,26.08,122.35,0.210015808,12.03301941
P11,25.9,122.29,0.208707543,11.95806137
P12,25.74,122.42,0.207240971,11.87403298
Q1,28.04,121.81,0.22625317,12.96335175
Q2,28.11,121.81,0.226798848,12.99461679
Q3,28.17,121.78,0.22732054,13.02450755
Q4,28.19,121.78,0.227476424,13.03343902
Q5,28.2,121.78,0.227554361,13.03790452
Q6,28.2,121.78,0.227554361,13.03790452
Q7,28.2,121.78,0.227554361,13.03790452
Q8,28.19,121.78,0.227476424,13.03343902
Q9,28.17,121.78,0.22732054,13.02450755
Q10,28.11,121.81,0.226798848,12.99461679
Q11,28.04,121.81,0.22625317,12.96335175
R1,29.36,121.51,0.237082048,13.58380075
R2,29.48,121.48,0.238071516,13.64049312
R3,29.53,121.47,0.238479075,13.66384449
R4,29.55,121.47,0.238634531,13.67275146
R5,29.55,121.46,0.23865344,13.6738349
R6,29.56,121.47,0.238712254,13.67720469
R7,29.55,121.46,0.23865344,13.6738349
R8,29.55,121.47,0.238634531,13.67275146
R9,29.53,121.46,0.238497973,13.66492728
R10,29.48,121.47,0.238090383,13.64157411
R11,29.36,121.51,0.237082048,13.58380075
S1,30.88,121.12,0.249635568,14.30306448
S2,30.89,121.11,0.249732862,14.30863902
S3,30.89,121.11,0.249732862,14.30863902
S4,30.89,121.11,0.249732862,14.30863902
S5,30.89,121.11,0.249732862,14.30863902
S6,30.89,121.11,0.249732862,14.30863902
S7,30.89,121.11,0.249732862,14.30863902
S8,30.89,121.12,0.24971309,14.30750617
S9,30.88,121.13,0.249615805,14.30193212
T1,31.9,120.86,0.258056662,14.78555759
T2,31.9,120.86,0.258056662,14.78555759
T3,31.9,120.88,0.258015835,14.78321841
T4,31.89,120.86,0.257979308,14.78112557
T5,31.89,120.86,0.257979308,14.78112557
T6,31.89,120.87,0.257958899,14.77995621
T7,31.89,120.86,0.257979308,14.78112557
T8,31.9,120.86,0.258056662,14.78555759
T9,31.9,120.87,0.258036247,14.78438791
U1,32.66,120.67,0.264322701,15.14457519
U2,32.64,120.66,0.264189155,15.13692356
U3,32.63,120.69,0.264049286,15.12890967
U4,32.63,120.69,0.264049286,15.12890967
U5,32.63,120.68,0.264070163,15.13010584
U6,32.63,120.68,0.264070163,15.13010584
U7,32.63,120.67,0.264091043,15.13130219
U8,32.64,120.67,0.264168266,15.13572671
U9,32.66,120.67,0.264322701,15.14457519
V1,33,120.59,0.26711491,15.304557
V2,32.97,120.58,0.266904548,15.29250412
V3,32.97,120.59,0.266883451,15.29129535
V4,32.96,120.58,0.266827383,15.28808289
V5,32.96,120.59,0.266806291,15.28687443
V6,32.97,120.6,0.266862357,15.29008677
V7,32.97,120.58,0.266904548,15.29250412
V8,32.97,120.58,0.266904548,15.29250412
V9,33,120.57,0.267157141,15.30697662
W1,32.73,120.65,0.264905003,15.17793864
W2,32.68,120.66,0.264498034,15.15462105
W3,32.67,120.67,0.264399914,15.14899915
W4,32.67,120.67,0.264399914,15.14899915
W5,32.66,120.67,0.264322701,15.14457519
W6,32.67,120.67,0.264399914,15.14899915
W7,32.67,120.66,0.264420819,15.15019696
W8,32.68,120.65,0.264518949,15.15581936
W9,32.71,120.64,0.264771525,15.17029092
X1,30.72,121.16,0.248316124,14.22746587
X2,30.72,121.17,0.248296462,14.22633936
X3,30.72,121.17,0.248296462,14.22633936
X4,30.72,121.16,0.248316124,14.22746587
X5,30.72,121.17,0.248296462,14.22633936
X6,30.72,121.17,0.248296462,14.22633936
X7,30.72,121.16,0.248316124,14.22746587
X8,30.72,121.17,0.248296462,14.22633936
Y1,26.87,122.08,0.216647186,12.41296943
Y2,26.92,122.07,0.217055022,12.43633671
Y3,26.92,122.06,0.217072252,12.43732387
Y4,26.92,122.07,0.217055022,12.43633671
Y5,26.92,122.07,0.217055022,12.43633671
Y6,26.92,122.07,0.217055022,12.43633671
Y7,26.92,122.06,0.217072252,12.43732387
Y8,26.88,122.07,0.216742517,12.41843147
Z1,19.55,123.43,0.157084442,9.000275565
Z2,19.59,123.43,0.157400566,9.018388104
Z3,19.6,123.43,0.157479592,9.022915955
Z4,19.6,123.42,0.157492141,9.023635
Z5,19.6,123.42,0.157492141,9.023635
Z6,19.6,123.42,0.157492141,9.023635
Z7,19.59,123.44,0.157388024,9.017669521
Z8,19.55,123.43,0.157084442,9.000275565
